N;Aleat Select;PresqueTri Select;PresqueTriDeb Select;PresqueTriDebFin Select;PresqueTriFinSelect;Aleat Bulle;PresqueTri Bulle;PresqueTriDeb Bulle;PresqueTriFin Bulle;PresqueTriDebFin Bulle;Aleat BulleOptimisé;PresqueTri BulleOptimisé;PresqueTriDeb BulleOptimisé;PresqueTriFin BulleOptimisé;PresqueTriDebFin BulleOptimisé;Aleat Rapide;PresqueTri Rapide;PresqueTriDeb Rapide;PresqueTriFin Rapide;PresqueTriDebFin Rapide;Aleat Peigne;PresqueTri Peigne;PresqueTriDeb Peigne;PresqueTriFin Peigne;PresqueTriDebFin Peigne
4209;8855736;8855736;8855736;8855736;8855736;8855736;8855736;8855736;8855736;8855736;8854746;8415;8415;8855736;8415;44803;43615;42330;42328;42329;120708;108084;108084;108084;108084
23884;285210786;285210786;285210786;285210786;285210786;285210786;285210786;285210786;285210786;285210786;285195561;47765;47765;285210786;47765;301374;307306;301624;301622;301623;851941;756409;756409;780292;756409
23926;286214775;286214775;286214775;286214775;286214775;286214775;286214775;286214775;286214775;286214775;286183899;47849;47849;286214775;47849;276233;307987;302212;302210;302211;853418;757718;757718;781643;757718
31096;483465060;483465060;483465060;483465060;483465060;483465060;483465060;483465060;483465060;483465060;483451199;62189;62189;483465060;62189;355504;411796;402591;402590;402592;1171345;1015870;1015870;1046965;1015870
14466;104625345;104625345;104625345;104625345;104625345;104625345;104625345;104625345;104625345;104625345;104605445;28929;28929;104625345;28929;172816;175506;171688;171687;171689;487088;429228;429228;443693;429228
31297;489735456;489735456;489735456;489735456;489735456;489735456;489735456;489735456;489735456;489735456;489709805;62591;62591;489735456;62591;389364;414583;405405;405404;405406;1178916;1022436;1022436;1053732;1022436
24828;308202378;308202378;308202378;308202378;308202378;308202378;308202378;308202378;308202378;308202378;308200667;49653;49653;308202378;49653;275673;320640;314839;314838;314840;1009728;786285;786285;811112;786285
7125;25379250;25379250;25379250;25379250;25379250;25379250;25379250;25379250;25379250;25379250;25358340;14247;14247;25379250;14247;73438;79148;77321;77320;77322;211440;197192;197192;197192;197192
7099;25194351;25194351;25194351;25194351;25194351;25194351;25194351;25194351;25194351;25194351;25189598;14195;14195;25194351;14195;84069;78879;77009;77008;77010;210662;196466;196466;196466;196466
13842;95793561;95793561;95793561;95793561;95793561;95793561;95793561;95793561;95793561;95793561;95790860;27681;27681;95793561;27681;149455;167238;163576;163575;163577;466077;410713;410713;424554;410713
